ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionA_batch1	sample4_conditionA_batch1	sample5_conditionA_batch1
4f5cf77f-f496-47e3-b833-f2d38e7b7353_ENSG00000183765.23	12.0	19.0	9.0	9.0	0.0
510ed1c9-5894-4106-8f7e-470eb74de568_ENSG00000183765.23	205.0	70.0	29.0	907.0	0.0
5289ac6a-4b06-4f24-929b-36069d246081_ENSG00000183765.23	0.0	8.0	3.0	2.0	0.0
54416315-2d24-45e1-8c41-b7d33995c9f2_ENSG00000183765.23	1.0	1.0	1.0	1.0	0.0
55ee5eec-319a-41f3-b521-167ff3fd83f4_ENSG00000183765.23	0.0	11.0	3.0	1.0	0.0
560d7553-a016-4e81-af2b-71cc4590db88_ENSG00000183765.23	1.0	5.0	4.0	0.0	0.0
568cf40b-db79-44ba-8503-49a5ebe71aa6_ENSG00000183765.23	2.0	8.0	1.0	2.0	0.0
5748275d-d098-48a2-9606-41cbd0f3dea8_ENSG00000183765.23	1.0	3.0	0.0	37.0	0.0
58351622-12c9-4479-87b6-33b6d9955dc9_ENSG00000183765.23	0.0	8.0	10.0	7.0	0.0
5973e6c3-109c-4624-a565-34c06968f663_ENSG00000183765.23	2.0	16.0	2.0	3.0	0.0
59871fd2-e4df-4ee5-9870-3031d69d1983_ENSG00000183765.23	4.0	13.0	7.0	5.0	0.0
5b1c6cb2-02db-4c5f-8e34-dc67a5ab7f31_ENSG00000183765.23	1.0	10.0	5.0	10.0	0.0
5b748464-688a-43ba-b695-bc0472146865_ENSG00000183765.23	49517.0	120135.0	49662.0	43777.0	0.0
5d710c29-0045-4e12-9137-cfcefaba21b7_ENSG00000183765.23	2.0	9.0	2.0	2.0	0.0
646bc812-5af0-4eac-b64a-33d79b1e292d_ENSG00000183765.23	3.0	6.0	2.0	0.0	0.0
64b58110-7fba-4974-8d04-9a32f81063ce_ENSG00000183765.23	1.0	11.0	4.0	4.0	0.0
671ad725-0ec4-41ac-ab22-c935273e5608_ENSG00000183765.23	0.0	7.0	5.0	0.0	0.0
685ae694-17f9-4c92-8e02-99917125cafb_ENSG00000183765.23	0.0	14.0	2.0	3.0	0.0
685d3308-b28a-454c-b861-6a614e81f7a6_ENSG00000183765.23	0.0	2.0	2.0	1.0	0.0
